127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.007000
127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.007000
127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-10-01 19:36:49, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-10-01 19:37:54, GET, /, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-10-01 19:38:20, GET, /, HTTP/1.1, 200, 0.066000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.005000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.008000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.011000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/js/web2py.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/images/favicon.ico, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/images/background.jpg, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/images/twitter.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/images/facebook.png, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-10-01 19:38:20, GET, /Praxyk/static/images/gplus-32.png, HTTP/1.1, 304, 0.004000
127.0.0.1, 2015-10-01 19:52:07, GET, /, HTTP/1.1, 200, 0.031000
127.0.0.1, 2015-10-01 19:52:37, GET, /, HTTP/1.1, 200, 0.029000
127.0.0.1, 2015-10-01 19:53:27, GET, /helloWorld/default/index, HTTP/1.1, 404, 0.029000
127.0.0.1, 2015-10-01 20:01:22, GET, /, HTTP/1.1, 500, 0.235000
127.0.0.1, 2015-10-01 20:01:24, GET, /admin/default/ticket/Praxyk/127.0.0.1.2015-10-01.20-01-22.eeda7900-7f48-4d7f-8b8a-436ee1bb07fc, HTTP/1.1, 200, 0.189000
127.0.0.1, 2015-10-01 20:03:31, GET, /admin, HTTP/1.1, 303, 0.015000
127.0.0.1, 2015-10-01 20:03:31, GET, /admin/site, HTTP/1.1, 200, 0.128000
127.0.0.1, 2015-10-01 20:03:37, GET, /, HTTP/1.1, 500, 0.031000
127.0.0.1, 2015-10-01 20:03:39, GET, /admin/site, HTTP/1.1, 200, 0.101000
127.0.0.1, 2015-10-01 20:03:48, GET, /admin/design/Praxyk, HTTP/1.1, 200, 0.217000
127.0.0.1, 2015-10-01 20:04:25, POST, /admin/design/Praxyk, HTTP/1.1, 303, 0.194000
127.0.0.1, 2015-10-01 20:04:25, GET, /admin/design/Praxyk, HTTP/1.1, 200, 0.222000
127.0.0.1, 2015-10-01 20:04:33, GET, /, HTTP/1.1, 200, 0.039000
127.0.0.1, 2015-10-01 20:04:33, GET, /Praxyk/static/plugin_layouts/layouts/KeepitSimple/css/style.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-01 20:04:33, GET, /Praxyk/static/plugin_layouts/superfish.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-10-01 20:04:33, GET, /Praxyk/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 20:04:33, GET, /Praxyk/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-10-01 20:04:33, GET, /Praxyk/static/js/calendar.js, HTTP/1.1, 304, 0.002000
